symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
159509.SZ,景顺长城纳斯达克科技市值加权ETF(QDII),纳斯达克科技市值加权,纳斯达克科技市值加权指数收益率(使用估值汇率调整)×100%,被动指数型,景顺长城基金管理有限公司,20230808,nan,L,0.8,0.2,186.6,Y,4,2023,2026,2024,12.231,2026,7.5739,Y,纳斯达克科技市值加权,纳斯达克科技市值加权
512690.SH,鹏华中证酒ETF,中证酒,中证酒指数收益率×100%,被动指数型,鹏华基金管理有限公司,20190506,nan,L,0.5,0.1,133.87,Y,7,2020,2026,2025,8.7205,2026,7.5506,Y,中证酒,白酒
159967.SZ,华夏创业板动量成长ETF,创业板动量成长,创业板动量成长指数收益率×100%,被动指数型,华夏基金管理有限公司,20190715,nan,L,0.5,0.1,57.93,Y,6,2021,2026,2026,6.9727,2026,6.9727,Y,创业板动量成长,创业板动量成长
159819.SZ,易方达中证人工智能主题ETF,中证人工智能主题,中证人工智能主题指数收益率×100%,被动指数型,易方达基金管理有限公司,20200923,nan,L,0.15,0.05,215.26,Y,6,2020,2026,2025,7.883,2026,6.8042,Y,中证人工智能主题,人工智能
159980.SZ,大成有色金属期货ETF,上海期货交易所有色金属期货价格,上海期货交易所有色金属期货价格指数收益率×100%,有色金属期货型,大成基金管理有限公司,20191224,nan,L,0.6,0.1,63.55,Y,5,2022,2026,2026,6.7678,2026,6.7678,Y,上海期货交易所有色金属期货价格,上海期货交易所有色金属期货价格
512170.SH,华宝中证医疗ETF,中证医疗,中证医疗指数收益率×100%,被动指数型,华宝基金管理有限公司,20190617,nan,L,0.5,0.1,243.06,Y,7,2020,2026,2026,6.3844,2026,6.3844,Y,中证医疗,医药生物
159755.SZ,广发国证新能源车电池ETF,国证新能源车电池,国证新能源车电池指数收益率×100%,被动指数型,广发基金管理有限公司,20210624,nan,L,0.5,0.1,74.6,Y,6,2021,2026,2026,6.2292,2026,6.2292,Y,国证新能源车电池,新能源车电池
159869.SZ,华夏中证动漫游戏ETF,中证动漫游戏,中证动漫游戏指数收益率×100%,被动指数型,华夏基金管理有限公司,20210305,nan,L,0.5,0.1,88.88,Y,5,2022,2026,2026,6.2017,2026,6.2017,Y,中证动漫游戏,传媒游戏
159852.SZ,嘉实中证软件服务ETF,中证软件服务,中证软件服务指数收益率×100%,被动指数型,嘉实基金管理有限公司,20210209,nan,L,0.5,0.1,97.34,Y,4,2023,2026,2026,6.1224,2026,6.1224,Y,中证软件服务,云计算软件
563300.SH,华泰柏瑞中证2000ETF,中证2000,中证2000指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20230914,nan,L,0.5,0.1,72.23,Y,4,2023,2026,2026,6.0523,2026,6.0523,Y,中证2000,中证2000
588220.SH,鹏华上证科创板100ETF,上证科创板100,上证科创板100指数收益率×100%,被动指数型,鹏华基金管理有限公司,20230915,nan,L,0.15,0.05,65.9,Y,4,2023,2026,2023,6.6417,2026,5.893,Y,上证科创板100,上证科创板100
512070.SH,易方达沪深300非银行金融ETF,沪深300非银行金融,沪深300非银行金融指数×100%,被动指数型,易方达基金管理有限公司,20140718,nan,L,0.5,0.1,133.17,Y,8,2014,2026,2026,5.6998,2026,5.6998,Y,沪深300非银行金融,沪深300非银行金融
159611.SZ,广发中证全指电力公用事业ETF,中证全指电力公用事业,中证全指电力公用事业指数×100%,被动指数型,广发基金管理有限公司,20220107,nan,L,0.5,0.1,98.1,Y,5,2022,2026,2026,5.3621,2026,5.3621,Y,中证全指电力公用事业,中证全指电力公用事业
512010.SH,易方达沪深300医药卫生ETF,沪深300医药卫生,沪深300医药卫生指数×100%,被动指数型,易方达基金管理有限公司,20131028,nan,L,0.5,0.1,151.69,Y,7,2020,2026,2023,5.9778,2026,5.315,Y,沪深300医药卫生,沪深300医药卫生
159985.SZ,华夏饲料豆粕期货ETF,大连商品交易所豆粕期货价格,大连商品交易所豆粕期货价格指数收益率×100%,豆粕期货型,华夏基金管理有限公司,20191205,nan,L,0.5,0.1,35.99,Y,4,2023,2026,2026,5.1637,2026,5.1637,Y,大连商品交易所豆粕期货价格,大连商品交易所豆粕期货价格
159201.SZ,华夏国证自由现金流ETF,国证自由现金流,国证自由现金流指数收益率×100%,被动指数型,华夏基金管理有限公司,20250227,nan,L,0.15,0.05,164.39,Y,2,2025,2026,2026,5.0958,2026,5.0958,Y,国证自由现金流,国证自由现金流
563230.SH,富国中证卫星产业ETF,中证卫星产业,中证卫星产业指数收益率×100%,被动指数型,富国基金管理有限公司,20250917,nan,L,0.5,0.1,37.01,Y,2,2025,2026,2026,4.9714,2026,4.9714,Y,中证卫星产业,航天航空卫星
