symbol,trade_date,fd_share,close
589120.SH,20260831,131262.0,0.829
588550.SH,20260831,6329.0,1.373
510060.SH,20260831,3595.92,2.658
511650.SH,20260831,12046.0,100.003
562880.SH,20260831,88939.96,0.736
520660.SH,20260831,216148.55,1.008
513210.SH,20260831,4094.2,1.512
513320.SH,20260831,9101.06,1.081
515220.SH,20260831,1047617.69,1.378
517200.SH,20260831,14478.2,0.594
516790.SH,20260831,18268.22,0.518
517010.SH,20260831,7814.42,1.125
561350.SH,20260831,10070.0,1.265
561320.SH,20260831,3436.9,0.943
515850.SH,20260831,48229.1,1.378
561900.SH,20260831,2633.44,0.985
562590.SH,20260831,907698.9,1.023
520870.SH,20260831,51147.72,1.085
588430.SH,20260831,10045.8,1.24
512620.SH,20260831,142166.6,0.917
516460.SH,20260831,42269.3,1.247
510630.SH,20260831,54736.15,0.809
515550.SH,20260831,2034.57,1.785
515290.SH,20260831,261917.29,1.487
588050.SH,20260831,642724.13,1.725
510160.SH,20260831,18405.74,0.91
588790.SH,20260831,328638.4,0.811
510560.SH,20260831,5231.87,2.003
589090.SH,20260831,18193.1,1.084
563620.SH,20260831,5104.9,1.093
512560.SH,20260831,94312.7,0.72
562010.SH,20260831,1929.87,0.861
510010.SH,20260831,13052.44,1.769
513750.SH,20260831,808783.8,1.556
560220.SH,20260831,6071.7,1.459
561280.SH,20260831,8784.77,1.632
563860.SH,20260831,18284.43,1.311
512770.SH,20260831,9826.78,2.595
516930.SH,20260831,10613.96,0.495
588680.SH,20260831,3236.1,2.657
520830.SH,20260831,108461.9,0.91
517170.SH,20260831,1613.18,1.005
520500.SH,20260831,187830.5,1.418
510040.SH,20260831,2648.0,1.17
511670.SH,20260831,1320.0,100.007
512950.SH,20260831,404255.1,1.523
510370.SH,20260831,8725.81,1.037
517520.SH,20260831,635040.4,2.213
516220.SH,20260831,26017.0,0.93
560380.SH,20260831,14086.1,1.26
511700.SH,20260831,182017.0,100.005
560560.SH,20260831,7019.01,0.658
561800.SH,20260831,20357.72,1.04
513730.SH,20260831,77635.5,1.156
589250.SH,20260831,7510.13,1.277
516840.SH,20260831,13727.7,0.747
159055.SZ,20260831,12129.3952,0.942
159060.SZ,20260831,2748.3423,1.058
159079.SZ,20260831,9180.683,1.01
159721.SZ,20260831,6743.1696,1.053
159572.SZ,20260831,18974.9107,1.466
159335.SZ,20260831,6328.3689,1.532
159337.SZ,20260831,27971.0611,1.82
159339.SZ,20260831,197308.6841,1.233
159542.SZ,20260831,1459.285,1.33
159948.SZ,20260831,117869.772,3.813
159502.SZ,20260831,112332.3019,1.623
159661.SZ,20260831,2720.8213,1.425
159020.SZ,20260831,12756.7082,0.931
159022.SZ,20260831,17763.0967,1.01
159159.SZ,20260831,11831.8582,1.011
159168.SZ,20260831,51445.506,0.899
159562.SZ,20260831,259113.0504,2.409
159141.SZ,20260831,133506.073,1.182
159181.SZ,20260831,12940.5335,0.902
159197.SZ,20260831,4338.829,0.919
159658.SZ,20260831,4439.4877,1.766
520850.SH,20260831,13924.96,0.893
561020.SH,20260831,3102.22,1.019
561810.SH,20260831,7063.84,1.009
561500.SH,20260831,5610.03,0.805
563580.SH,20260831,24364.8,1.142
511120.SH,20260831,11771.06,101.88
510290.SH,20260831,5444.89,2.69
510510.SH,20260831,86703.83,2.585
516500.SH,20260831,20293.72,0.637
517330.SH,20260831,180916.9,0.973
561680.SH,20260831,5816.9,0.998
560160.SH,20260831,11170.6,0.926
589220.SH,20260831,31949.58,1.024
520810.SH,20260831,29836.0,1.045
588400.SH,20260831,136260.06,1.108
515450.SH,20260831,1425833.5,1.407
515030.SH,20260831,149038.4,1.615
515210.SH,20260831,102522.61,1.184
561560.SH,20260831,194462.42,1.258
560110.SH,20260831,35590.35,1.168
