sw_l1,sw_l2,sw_l3,组内排名,symbol,name,mktcap_yi,avg_amount_20d_yi,price,listing_date,is_st,已纳入
公用事业,电力,风力发电,6,001248.SZ,华润新能,1569.29,4.5292,11.78,2026-07-02,0,False
公用事业,电力,水力发电,7,600886.SS,国投电力,1160.65,3.4386,14.5,1996-01-18,0,True
公用事业,电力,火力发电,8,600011.SS,华能国际,1078.46,4.1492,6.87,2001-12-06,0,True
公用事业,电力,风力发电,9,600905.SS,三峡能源,1046.31,2.3682,3.66,2021-06-10,0,True
公用事业,电力,火力发电,10,601991.SS,大唐发电,1034.53,12.615,5.59,2006-12-20,0,False
公用事业,电力,火力发电,11,600795.SS,国电电力,948.85,5.8095,5.32,1997-03-18,0,True
公用事业,电力,水力发电,12,600674.SS,川投能源,778.96,3.6434,15.98,1993-09-24,0,True
公用事业,电力,水力发电,13,600236.SS,桂冠电力,771.68,1.2969,9.79,2000-03-23,0,False
公用事业,电力,火力发电,14,600023.SS,浙能电力,686.53,2.1395,5.12,2013-12-19,0,True
公用事业,电力,火力发电,15,600027.SS,华电国际,567.82,3.5621,4.89,2005-02-03,0,False
公用事业,电力,火力发电,16,600642.SS,申能股份,425.3,1.6436,8.69,1993-04-16,0,True
公用事业,电力,火力发电,17,600726.SS,华电能源,414.34,5.3592,5.24,1996-07-01,0,False
公用事业,电力,电能综合服务,18,600995.SS,南网储能,396.3,1.1354,12.4,2004-06-15,0,False
公用事业,电力,火力发电,19,600021.SS,上海电力,382.08,3.7631,13.54,2003-10-29,0,True
公用事业,电力,火力发电,20,600863.SS,华能蒙电,376.87,4.8059,4.8100000000000005,1994-05-20,0,True
公用事业,电力,火力发电,21,001286.SZ,陕西能源,368.62,2.4903,9.83,2023-04-10,0,True
公用事业,电力,火力发电,22,600578.SS,京能电力,365.53,3.6833,5.46,2002-05-10,0,False
公用事业,电力,电能综合服务,23,000883.SZ,湖北能源,321.4,1.2731,4.54,1998-05-19,0,False
公用事业,电力,电能综合服务,24,600483.SS,福能股份,312.21,1.4397,11.23,2004-05-31,0,False
公用事业,电力,火力发电,25,000027.SZ,深圳能源,304.0,1.5204,6.390000000000001,1993-09-03,0,False
公用事业,电力,火力发电,26,002608.SZ,江苏国信,281.84,1.224,7.46,2011-08-10,0,False
公用事业,电力,火力发电,27,000539.SZ,粤电力Ａ,278.79,2.7235,5.3100000000000005,1993-11-26,0,False
公用事业,电力,热力服务,28,002015.SZ,协鑫能科,274.67,19.4395,16.92,2004-07-08,0,False
公用事业,电力,水力发电,29,000791.SZ,甘肃能源,239.4,1.2983,7.38,1997-10-14,0,False
公用事业,电力,火力发电,30,600098.SS,广州发展,224.02,1.3988,6.390000000000001,1997-07-18,0,False
公用事业,电力,风力发电,31,601016.SS,节能风电,223.82,3.1306,3.42,2014-09-29,0,False
公用事业,电力,电能综合服务,32,003035.SZ,南网能源,217.42,3.1632,5.74,2021-01-19,0,False
公用事业,电力,风力发电,33,000155.SZ,川能动力,216.37,3.5009,11.72,2000-09-26,0,True
公用事业,电力,火力发电,34,600396.SS,华电辽能,199.85,21.4412,13.57,2001-03-28,0,False
公用事业,电力,火力发电,35,001896.SZ,豫能控股,188.13,8.1207,12.33,1998-01-22,0,False
