symbol,name,category_l1,category_l2,category_l3,sw_l3,mktcap_yi,avg_amount_20d_yi,listing_date,档位,行情名
601611.SS,中国核建,股票,建筑装饰,基础建设,基建市政工程,311.63,3.0572,2016-06-06,1亿以上,
600629.SS,华建集团,股票,建筑装饰,工程咨询服务,工程咨询服务Ⅲ,185.23,5.0966,1993-02-09,1亿以上,
301091.SZ,深城交,股票,建筑装饰,工程咨询服务,工程咨询服务Ⅲ,97.92,1.1661,2021-10-29,1亿以上,
603257.SS,中国瑞林,股票,建筑装饰,工程咨询服务,工程咨询服务Ⅲ,87.6,1.4544,2025-04-08,1亿以上,
003013.SZ,地铁设计,股票,建筑装饰,工程咨询服务,工程咨询服务Ⅲ,80.58,1.9104,2020-10-22,1亿以上,
301365.SZ,矩阵股份,股票,建筑装饰,工程咨询服务,工程咨询服务Ⅲ,68.78,1.1427,2022-11-22,1亿以上,
301058.SZ,中粮科工,股票,建筑装饰,工程咨询服务,工程咨询服务Ⅲ,44.48,1.2733,2021-09-09,1亿以上,
000779.SZ,甘咨询,股票,建筑装饰,工程咨询服务,工程咨询服务Ⅲ,39.56,6.1523,1997-05-28,1亿以上,
000628.SZ,高新发展,股票,建筑装饰,房屋建设,房屋建设Ⅲ,197.59,7.2133,1996-11-18,1亿以上,
600170.SS,上海建工,股票,建筑装饰,房屋建设,房屋建设Ⅲ,195.49,2.7391,1998-06-23,1亿以上,
002761.SZ,浙江建投,股票,建筑装饰,房屋建设,房屋建设Ⅲ,94.6,1.0669,2015-06-10,1亿以上,
601789.SS,宁波建工,股票,建筑装饰,房屋建设,房屋建设Ⅲ,62.8,1.1252,2011-08-16,1亿以上,
601886.SS,江河集团,股票,建筑装饰,装修装饰,装修装饰Ⅲ,148.88,2.9605,2011-08-18,1亿以上,
002081.SZ,金 螳 螂,股票,建筑装饰,装修装饰,装修装饰Ⅲ,129.05,17.7248,2006-11-20,1亿以上,
002713.SZ,东易日盛,股票,建筑装饰,装修装饰,装修装饰Ⅲ,92.95,1.5029,2014-02-19,1亿以上,
002163.SZ,海南发展,股票,建筑装饰,装修装饰,装修装饰Ⅲ,73.17,2.4661,2007-08-23,1亿以上,
002047.SZ,宝鹰股份,股票,建筑装饰,装修装饰,装修装饰Ⅲ,50.95,1.3799,2005-05-31,1亿以上,
605287.SS,德才股份,股票,建筑装饰,装修装饰,装修装饰Ⅲ,48.34,1.4897,2021-07-06,1亿以上,
